iter	Passed	Remaining
0	2	264
1	5	265
2	7	257
3	9	236
4	12	231
5	14	226
6	16	225
7	19	224
8	21	217
9	23	210
10	26	217
11	35	261
12	39	261
13	42	262
14	45	258
15	47	251
16	51	249
17	53	242
18	55	236
19	63	253
20	67	252
21	69	244
22	70	237
23	72	230
24	74	224
25	77	219
26	78	213
27	80	207
28	82	202
29	84	196
30	86	191
31	90	192
32	95	193
33	97	189
34	101	188
35	103	184
36	105	179
37	107	175
38	109	170
39	111	166
40	112	162
41	113	157
42	115	153
43	117	149
44	119	146
45	121	142
46	123	138
47	125	135
48	127	133
49	129	129
50	131	126
51	133	123
52	136	121
53	138	117
54	139	114
55	141	111
56	143	108
57	145	105
58	147	102
59	149	99
60	151	96
61	153	94
62	155	91
63	157	88
64	159	85
65	161	83
66	163	80
67	165	77
68	169	75
69	171	73
70	173	70
71	174	68
72	177	65
73	179	63
74	181	60
75	183	58
76	185	55
77	187	52
78	189	50
79	191	47
80	194	45
81	197	43
82	199	40
83	201	38
84	203	35
85	205	33
86	207	31
87	210	28
88	212	26
89	215	23
90	217	21
91	219	19
92	222	16
93	224	14
94	227	11
95	229	9
96	232	7
97	234	4
98	236	2
99	238	0
