iter	Passed	Remaining
0	128	128342
1	130	65015
2	132	43943
3	134	33470
4	137	27303
5	139	23085
6	141	20045
7	142	17689
8	143	15839
9	146	14462
10	147	13302
11	149	12317
12	151	11522
13	153	10801
14	154	10156
15	156	9639
16	159	9195
17	161	8790
18	162	8398
19	163	8021
20	164	7673
21	165	7376
22	167	7104
23	168	6842
24	169	6600
25	170	6391
26	171	6186
27	173	6037
28	175	5876
29	176	5716
30	177	5558
31	178	5409
32	179	5273
33	181	5146
34	182	5024
35	183	4909
36	184	4806
37	185	4708
38	187	4609
39	188	4529
40	190	4446
41	191	4368
42	192	4289
43	193	4212
44	194	4133
45	196	4065
46	197	3998
47	198	3931
48	199	3872
49	200	3811
50	201	3753
51	202	3700
52	204	3647
53	205	3605
54	207	3561
55	208	3518
56	210	3476
57	211	3431
58	212	3389
59	213	3346
60	214	3306
61	216	3272
62	218	3249
63	220	3220
64	221	3192
65	223	3161
66	224	3125
67	225	3090
68	226	3059
69	227	3027
70	229	2996
71	230	2966
72	231	2941
73	233	2922
74	234	2895
75	235	2868
76	236	2840
77	238	2813
78	239	2789
79	240	2765
80	241	2739
81	242	2716
82	243	2685
83	244	2662
84	245	2641
85	246	2625
86	248	2611
87	250	2592
88	251	2576
89	253	2558
90	254	2540
91	255	2526
92	257	2507
93	258	2490
94	259	2470
95	260	2452
96	261	2434
97	262	2420
98	264	2403
99	265	2389
100	266	2374
101	268	2361
102	269	2347
103	270	2331
104	271	2315
105	272	2300
106	273	2285
107	274	2271
108	276	2259
109	278	2249
110	279	2240
111	281	2228
112	282	2216
113	283	2204
114	284	2190
115	285	2177
116	286	2165
117	287	2152
118	289	2140
119	290	2128
120	291	2119
121	292	2107
122	294	2097
123	295	2087
124	297	2080
125	298	2069
126	299	2058
127	300	2049
128	302	2040
129	303	2029
130	304	2019
131	305	2011
132	306	2000
133	308	1991
134	309	1981
135	310	1972
136	311	1964
137	312	1954
138	314	1945
139	315	1937
140	316	1929
141	317	1917
142	318	1910
143	319	1901
144	321	1892
145	322	1884
146	323	1878
147	325	1873
148	326	1866
149	328	1860
150	329	1852
151	330	1844
152	331	1835
153	332	1826
154	333	1818
155	334	1811
156	336	1806
157	337	1798
158	338	1793
159	340	1788
160	341	1778
161	342	1771
162	343	1765
163	344	1758
164	346	1751
165	347	1745
166	348	1737
167	349	1730
168	350	1725
169	352	1720
170	353	1714
171	354	1707
172	355	1701
173	357	1696
174	358	1690
175	359	1683
176	360	1677
177	361	1671
178	363	1664
179	364	1659
180	365	1652
181	366	1646
182	367	1640
183	368	1634
184	370	1631
185	371	1626
186	372	1620
187	374	1615
188	375	1609
189	376	1604
190	377	1598
191	378	1592
192	379	1587
193	380	1582
194	382	1578
195	384	1575
196	386	1574
197	388	1573
198	390	1571
199	391	1567
200	393	1564
201	394	1560
202	396	1558
203	398	1554
204	399	1551
205	401	1547
206	403	1544
207	404	1541
208	406	1537
209	407	1533
210	409	1531
211	411	1530
212	413	1526
213	414	1522
214	416	1519
215	417	1516
216	419	1512
217	420	1507
218	421	1503
219	422	1498
220	423	1493
221	424	1489
222	425	1484
223	427	1480
224	428	1475
225	429	1471
226	431	1469
227	432	1464
228	433	1459
229	434	1455
230	436	1452
231	437	1448
232	438	1443
233	439	1439
234	440	1434
235	442	1430
236	442	1426
237	444	1422
238	446	1420
239	447	1417
240	449	1414
241	450	1411
242	451	1407
243	452	1403
244	454	1399
245	455	1395
246	456	1391
247	457	1387
248	458	1384
249	460	1380
250	461	1377
251	462	1373
252	464	1370
253	465	1367
254	466	1363
255	467	1359
256	469	1356
257	470	1352
258	471	1348
259	472	1345
260	473	1341
261	475	1338
262	476	1335
263	477	1332
264	478	1328
265	480	1324
266	481	1322
267	482	1318
268	483	1314
269	485	1311
270	486	1307
271	487	1304
272	488	1301
273	489	1297
274	490	1293
275	492	1291
276	494	1289
277	495	1287
278	496	1284
279	498	1281
280	499	1278
281	500	1275
282	502	1273
283	503	1269
284	504	1266
285	506	1263
286	507	1260
287	508	1258
288	510	1255
289	511	1253
290	513	1250
291	514	1246
292	515	1243
293	516	1241
294	517	1237
295	519	1234
296	520	1231
297	521	1227
298	523	1226
299	524	1224
300	526	1222
301	528	1221
302	530	1219
303	532	1218
304	533	1216
305	535	1213
306	536	1212
307	538	1209
308	540	1207
309	541	1205
310	543	1203
311	544	1201
312	546	1200
313	548	1199
314	551	1198
315	553	1197
316	554	1195
317	557	1194
318	559	1193
319	560	1191
320	561	1188
321	563	1185
322	564	1182
323	565	1180
324	567	1177
325	568	1175
326	569	1172
327	571	1171
328	573	1170
329	575	1167
330	576	1165
331	578	1163
332	579	1159
333	580	1157
334	581	1154
335	582	1151
336	584	1149
337	585	1147
338	587	1145
339	588	1142
340	589	1139
341	591	1137
342	592	1134
343	593	1131
344	594	1128
345	596	1126
346	597	1124
347	598	1122
348	600	1120
349	602	1118
350	603	1115
351	604	1113
352	606	1110
353	607	1108
354	608	1105
355	609	1102
356	610	1100
357	612	1097
358	613	1095
359	615	1093
360	617	1092
361	619	1092
362	621	1089
363	622	1087
364	623	1084
365	624	1081
366	625	1078
367	626	1076
368	628	1075
369	630	1073
370	633	1073
371	634	1070
372	635	1068
373	636	1065
374	637	1062
375	638	1060
376	639	1057
377	641	1055
378	642	1052
379	644	1050
380	645	1049
381	647	1047
382	648	1045
383	649	1042
384	651	1040
385	652	1037
386	653	1034
387	654	1032
388	655	1029
389	656	1026
390	657	1024
391	659	1022
392	661	1021
393	663	1019
394	664	1017
395	665	1015
396	667	1013
397	668	1011
398	669	1008
399	670	1005
400	671	1003
401	673	1001
402	674	999
403	676	997
404	677	995
405	679	994
406	680	991
407	681	989
408	683	987
409	684	984
410	686	983
411	687	981
412	688	978
413	690	977
414	693	977
415	695	976
416	697	975
417	698	973
418	700	970
419	701	968
420	702	966
421	704	964
422	706	963
423	707	961
424	709	959
425	710	957
426	711	954
427	712	952
428	713	949
429	715	947
430	716	945
431	717	944
432	719	941
433	720	940
434	722	939
435	724	936
436	725	935
437	727	933
438	728	930
439	729	928
440	731	926
441	732	924
442	733	922
443	734	920
444	736	918
445	738	916
446	739	914
447	740	912
448	742	910
449	743	909
450	744	906
451	746	904
452	747	902
453	748	900
454	750	899
455	753	898
456	754	896
457	755	894
458	757	892
459	758	890
460	759	888
461	760	886
462	762	884
463	764	883
464	766	881
465	768	880
466	770	879
467	771	877
468	773	875
469	775	874
470	776	872
471	777	869
472	778	867
473	779	865
474	781	864
475	783	862
476	785	860
477	787	859
478	789	858
479	791	856
480	792	854
481	793	852
482	795	851
483	796	849
484	798	848
485	799	845
486	801	843
487	802	841
488	803	839
489	804	837
490	805	835
491	806	833
492	807	830
493	809	828
494	810	827
495	812	825
496	814	824
497	815	822
498	816	820
499	818	818
500	819	815
501	820	813
502	821	811
503	822	809
504	824	808
505	826	807
506	829	806
507	830	804
508	831	802
509	832	799
510	833	797
511	834	795
512	835	793
513	836	791
514	838	789
515	840	788
516	842	786
517	843	784
518	844	782
519	845	780
520	846	778
521	847	776
522	848	774
523	850	772
524	851	770
525	852	768
526	853	766
527	854	764
528	856	762
529	857	760
530	859	758
531	860	756
532	861	754
533	862	752
534	863	750
535	864	748
536	865	746
537	866	744
538	868	742
539	869	740
540	871	739
541	872	737
542	873	735
543	875	733
544	876	731
545	877	729
546	879	728
547	880	726
548	881	724
549	883	722
550	884	720
551	886	719
552	888	717
553	889	716
554	890	714
555	892	712
556	893	710
557	895	708
558	896	707
559	897	705
560	898	703
561	900	701
562	902	700
563	904	698
564	905	697
565	907	695
566	908	693
567	909	691
568	910	689
569	911	687
570	913	686
571	914	684
572	916	682
573	917	681
574	919	679
575	920	677
576	921	675
577	922	673
578	923	671
579	924	669
580	926	668
581	927	666
582	928	664
583	929	662
584	930	660
585	931	658
586	933	656
587	934	654
588	935	653
589	936	651
590	938	649
591	939	647
592	940	645
593	941	643
594	942	641
595	944	640
596	945	638
597	947	636
598	949	635
599	950	633
600	951	631
601	953	630
602	954	628
603	955	626
604	956	624
605	957	622
606	958	620
607	960	619
608	961	617
609	962	615
610	964	614
611	965	612
612	967	610
613	971	610
614	973	609
615	975	607
616	976	606
617	978	604
618	979	603
619	981	601
620	982	599
621	983	597
622	985	596
623	987	594
624	988	593
625	990	591
626	991	589
627	992	587
628	994	586
629	995	584
630	996	582
631	998	581
632	1002	581
633	1003	579
634	1004	577
635	1005	575
636	1006	573
637	1007	571
638	1009	570
639	1010	568
640	1011	566
641	1013	565
642	1015	563
643	1017	562
644	1019	560
645	1020	559
646	1021	557
647	1023	556
648	1025	554
649	1027	553
650	1029	551
651	1031	550
652	1032	548
653	1034	547
654	1036	545
655	1038	544
656	1040	543
657	1041	541
658	1043	540
659	1045	538
660	1046	536
661	1048	535
662	1050	533
663	1052	532
664	1054	531
665	1055	529
666	1057	527
667	1058	526
668	1060	524
669	1061	522
670	1062	520
671	1063	519
672	1065	517
673	1066	515
674	1068	514
675	1069	512
676	1071	511
677	1073	509
678	1074	508
679	1076	506
680	1077	504
681	1078	503
682	1080	501
683	1082	499
684	1084	498
685	1085	496
686	1086	495
687	1088	493
688	1089	491
689	1090	490
690	1091	488
691	1093	486
692	1095	485
693	1096	483
694	1098	481
695	1099	480
696	1101	478
697	1102	477
698	1104	475
699	1105	473
700	1107	472
701	1108	470
702	1110	468
703	1111	467
704	1113	466
705	1115	464
706	1117	463
707	1118	461
708	1120	459
709	1121	458
710	1123	456
711	1124	454
712	1126	453
713	1128	452
714	1131	450
715	1132	449
716	1134	447
717	1136	446
718	1138	444
719	1140	443
720	1141	441
721	1143	440
722	1145	438
723	1147	437
724	1148	435
725	1150	434
726	1152	432
727	1153	431
728	1155	429
729	1156	427
730	1158	426
731	1159	424
732	1161	422
733	1162	421
734	1164	419
735	1165	418
736	1166	416
737	1168	414
738	1169	412
739	1170	411
740	1172	409
741	1173	407
742	1174	406
743	1175	404
744	1176	402
745	1177	401
746	1179	399
747	1180	397
748	1181	395
749	1182	394
750	1183	392
751	1185	390
752	1186	389
753	1187	387
754	1189	385
755	1190	384
756	1191	382
757	1192	380
758	1193	379
759	1195	377
760	1196	375
761	1197	374
762	1198	372
763	1200	370
764	1202	369
765	1203	367
766	1205	366
767	1206	364
768	1207	362
769	1208	361
770	1209	359
771	1211	357
772	1212	356
773	1213	354
774	1214	352
775	1216	351
776	1217	349
777	1219	347
778	1220	346
779	1222	344
780	1223	342
781	1224	341
782	1225	339
783	1226	337
784	1227	336
785	1228	334
786	1230	332
787	1231	331
788	1232	329
789	1234	328
790	1235	326
791	1237	324
792	1238	323
793	1239	321
794	1240	319
795	1242	318
796	1243	316
797	1244	315
798	1245	313
799	1247	311
800	1248	310
801	1249	308
802	1251	306
803	1252	305
804	1254	303
805	1256	302
806	1257	300
807	1258	299
808	1259	297
809	1260	295
810	1262	294
811	1263	292
812	1264	290
813	1266	289
814	1268	287
815	1269	286
816	1271	284
817	1272	283
818	1273	281
819	1274	279
820	1275	278
821	1277	276
822	1278	274
823	1279	273
824	1281	271
825	1282	270
826	1284	268
827	1285	266
828	1286	265
829	1287	263
830	1288	262
831	1289	260
832	1291	258
833	1292	257
834	1293	255
835	1294	254
836	1296	252
837	1297	250
838	1299	249
839	1300	247
840	1301	246
841	1302	244
842	1303	242
843	1304	241
844	1305	239
845	1306	237
846	1307	236
847	1309	234
848	1310	233
849	1312	231
850	1314	230
851	1315	228
852	1316	226
853	1318	225
854	1319	223
855	1320	222
856	1321	220
857	1322	218
858	1323	217
859	1325	215
860	1327	214
861	1329	212
862	1330	211
863	1332	209
864	1333	208
865	1335	206
866	1337	205
867	1338	203
868	1339	201
869	1341	200
870	1342	198
871	1344	197
872	1345	195
873	1347	194
874	1348	192
875	1350	191
876	1351	189
877	1352	187
878	1353	186
879	1354	184
880	1355	183
881	1357	181
882	1358	180
883	1359	178
884	1360	176
885	1362	175
886	1363	173
887	1364	172
888	1365	170
889	1366	168
890	1367	167
891	1368	165
892	1369	164
893	1371	162
894	1372	161
895	1374	159
896	1375	157
897	1376	156
898	1377	154
899	1379	153
900	1380	151
901	1381	150
902	1382	148
903	1383	146
904	1385	145
905	1386	143
906	1387	142
907	1388	140
908	1389	139
909	1391	137
910	1392	136
911	1393	134
912	1394	132
913	1395	131
914	1396	129
915	1398	128
916	1399	126
917	1401	125
918	1402	123
919	1403	122
920	1405	120
921	1406	118
922	1407	117
923	1408	115
924	1409	114
925	1410	112
926	1411	111
927	1413	109
928	1414	108
929	1415	106
930	1416	104
931	1418	103
932	1419	101
933	1420	100
934	1421	98
935	1422	97
936	1424	95
937	1425	94
938	1426	92
939	1427	91
940	1428	89
941	1429	88
942	1430	86
943	1432	84
944	1433	83
945	1435	81
946	1436	80
947	1437	78
948	1439	77
949	1440	75
950	1441	74
951	1443	72
952	1444	71
953	1445	69
954	1446	68
955	1448	66
956	1450	65
957	1451	63
958	1452	62
959	1453	60
960	1454	59
961	1455	57
962	1457	55
963	1458	54
964	1459	52
965	1460	51
966	1461	49
967	1462	48
968	1463	46
969	1465	45
970	1466	43
971	1467	42
972	1468	40
973	1469	39
974	1470	37
975	1472	36
976	1473	34
977	1474	33
978	1476	31
979	1477	30
980	1478	28
981	1480	27
982	1481	25
983	1482	24
984	1484	22
985	1485	21
986	1486	19
987	1487	18
988	1488	16
989	1489	15
990	1490	13
991	1491	12
992	1492	10
993	1493	9
994	1495	7
995	1496	6
996	1498	4
997	1499	3
998	1500	1
999	1501	0
